_id,modeId,startTime,endTime,accountId,nickname,level,score,gradingScore
8YQBeiy2M1r,11,2022/12/23 15:57,2022/12/23 16:09,69922136,いおり530,10401,38500,84
8YQ9GvD2Txx,11,2022/12/23 15:24,2022/12/23 15:44,69922136,いおり530,10401,33100,44
8YPzbnTbnWR,11,2022/12/23 13:12,2022/12/23 13:28,69922136,いおり530,10401,39800,85
8YPu5v0vmoN,11,2022/12/23 11:57,2022/12/23 12:08,69922136,いおり530,10401,27700,38
8YPohT93JP0,11,2022/12/23 10:43,2022/12/23 11:04,69922136,いおり530,10401,19700,-10
8YPlUCUCNOJ,11,2022/12/23 9:59,2022/12/23 10:10,69922136,いおり530,10401,-33800,-153
8YPiyax6Qrj,11,2022/12/23 9:25,2022/12/23 9:42,69922136,いおり530,10401,27500,38
8YPhcEGQscx,11,2022/12/23 9:06,2022/12/23 9:22,69922136,いおり530,10401,27100,38
8YPfe2ArAJm,11,2022/12/23 8:39,2022/12/23 9:06,69922136,いおり530,10401,7100,-112
8YOMHYZq6pI,11,2022/12/22 14:08,2022/12/22 14:27,69922136,いおり530,10401,16900,-103
8YOKSjhoxuJ,11,2022/12/22 13:43,2022/12/22 13:59,69922136,いおり530,10401,25300,36
8YOHoEaitB6,11,2022/12/22 13:06,2022/12/22 13:32,69922136,いおり530,10401,24400,35
8YOGlZP0TDO,11,2022/12/22 12:52,2022/12/22 13:03,69922136,いおり530,10401,24300,-5
8YOBfzHfMQw,11,2022/12/22 11:43,2022/12/22 11:57,69922136,いおり530,10401,25900,36
